SubjectID,StimulusType,response,RT
123,1,1,518
123,1,1,369
123,1,1,382
123,1,1,317
123,1,1,332
123,1,1,361
123,1,1,318
123,0,0,0
123,1,1,402
123,1,1,419
123,1,1,400
123,1,1,318
123,1,1,334
123,1,1,315
123,0,0,0
123,0,0,0
123,1,1,366
123,1,1,333
123,1,1,348
123,0,0,0
123,1,1,370
123,1,1,382
123,1,1,302
123,0,0,0
123,1,1,333
123,0,0,0
123,1,1,301
123,0,0,0
123,1,1,314
123,1,1,315
123,1,1,286
123,1,1,282
123,0,0,0
123,1,1,351
123,1,1,385
123,1,1,401
123,1,1,318
123,1,1,399
123,0,0,0
123,1,1,332
123,1,1,332
123,1,1,283
123,1,1,299
123,1,1,317
123,0,0,0
123,0,0,0
123,1,1,331
123,1,1,316
123,0,0,0
123,1,1,346
123,1,1,350
123,1,1,333
123,1,1,335
123,1,1,349
123,1,1,315
123,1,1,286
123,1,1,330
123,1,1,316
123,0,0,0
123,1,1,318
123,1,1,313
123,0,1,348
123,1,1,333
123,0,0,0
123,1,1,302
123,1,1,302
123,1,1,283
123,1,1,320
123,1,1,282
123,1,1,333
123,1,1,333
123,1,1,299
123,1,1,298
123,1,1,284
123,0,0,0
123,0,1,352
123,1,1,332
123,1,1,401
123,1,1,317
123,1,1,349
123,1,1,318
123,1,1,316
123,0,0,0
123,1,1,433
123,1,1,283
123,1,1,331
123,1,1,315
123,1,1,299
123,1,1,317
123,0,0,0
123,1,1,451
123,1,1,316
123,1,1,351
123,1,1,316
123,0,0,0
123,1,1,332
123,1,1,402
123,1,1,316
123,1,1,317
123,1,1,314
